,Name,Price,Rating
0,"APPLE iPhone 11 (White, 128 GB)","₹41,990",4.6
1,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,499",4.4
2,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,499",4.4
3,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,499",4.4
4,"APPLE iPhone 11 (Black, 128 GB)","₹41,990",4.6
5,"realme C33 (Aqua Blue, 32 GB)","₹8,999",4.5
6,"realme C33 (Night Sea, 64 GB)","₹9,999",4.5
7,"realme C33 (Aqua Blue, 64 GB)","₹9,999",4.5
8,"realme C33 (Night Sea, 32 GB)","₹8,999",4.5
9,"realme C33 (Sandy Gold, 64 GB)","₹9,999",4.5
10,"POCO C31 (Royal Blue, 64 GB)","₹7,499",4.3
11,"realme C33 (Sandy Gold, 32 GB)","₹8,999",4.5
12,"REDMI 10 (Caribbean Green, 64 GB)","₹8,999",4.3
13,"realme C30 (Lake Blue, 32 GB)","₹5,699",4.4
14,"realme C30 (Bamboo Green, 32 GB)","₹5,699",4.4
15,"realme C30 (Denim Black, 32 GB)","₹5,699",4.4
16,"realme 9i 5G (Metallica Gold, 64 GB)","₹12,999",4.5
17,"APPLE iPhone 11 (Black, 64 GB)","₹35,990",4.6
18,"REDMI 10 (Pacific Blue, 64 GB)","₹8,999",4.3
19,"REDMI 10 (Midnight Black, 64 GB)","₹8,999",4.3
20,"POCO C31 (Shadow Gray, 64 GB)","₹7,499",4.3
21,"REDMI 9i Sport (Coral Green, 64 GB)","₹7,099",4.4
22,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,099",4.4
23,"APPLE iPhone 11 (Red, 64 GB)","₹34,990",4.6
